001  00119 |Loss: 39.287 | Acc: 35.714% 
001  00120 |Loss: 39.285 | Acc: 35.750% 
001  00121 |Loss: 39.281 | Acc: 35.785% 
001  00122 |Loss: 39.278 | Acc: 35.943% 
001  00123 |Loss: 39.272 | Acc: 36.179% 
001  00124 |Loss: 39.266 | Acc: 36.371% 
001  00125 |Loss: 39.259 | Acc: 36.680% 
001  00126 |Loss: 39.256 | Acc: 36.706% 
001  00127 |Loss: 39.251 | Acc: 36.890% 
001  00128 |Loss: 39.246 | Acc: 37.031% 
001  00129 |Loss: 39.244 | Acc: 37.054% 
001  00130 |Loss: 39.239 | Acc: 37.000% 
001  00131 |Loss: 39.234 | Acc: 37.214% 
001  00132 |Loss: 39.227 | Acc: 37.538% 
001  00133 |Loss: 39.222 | Acc: 37.744% 
001  00134 |Loss: 39.217 | Acc: 37.761% 
001  00135 |Loss: 39.213 | Acc: 37.741% 
001  00136 |Loss: 39.209 | Acc: 37.831% 
001  00137 |Loss: 39.205 | Acc: 37.956% 
001  00138 |Loss: 39.202 | Acc: 38.080% 
001  00139 |Loss: 39.196 | Acc: 38.129% 
001  00140 |Loss: 39.194 | Acc: 38.143% 
001  00141 |Loss: 39.188 | Acc: 38.298% 
001  00142 |Loss: 39.187 | Acc: 38.310% 
001  00143 |Loss: 39.180 | Acc: 38.497% 
001  00144 |Loss: 39.179 | Acc: 38.438% 
001  00145 |Loss: 39.175 | Acc: 38.483% 
001  00146 |Loss: 39.174 | Acc: 38.562% 
001  00147 |Loss: 39.168 | Acc: 38.707% 
001  00148 |Loss: 39.162 | Acc: 38.885% 
001  00149 |Loss: 39.159 | Acc: 39.027% 
001  00150 |Loss: 39.157 | Acc: 39.033% 
001  00151 |Loss: 39.153 | Acc: 39.106% 
001  00152 |Loss: 39.151 | Acc: 39.243% 
001  00153 |Loss: 39.150 | Acc: 39.314% 
001  00154 |Loss: 39.147 | Acc: 39.383% 
001  00155 |Loss: 39.145 | Acc: 39.355% 
001  00156 |Loss: 39.143 | Acc: 39.327% 
001  00157 |Loss: 39.141 | Acc: 39.331% 
001  00158 |Loss: 39.137 | Acc: 39.430% 
001  00159 |Loss: 39.134 | Acc: 39.465% 
001  00160 |Loss: 39.132 | Acc: 39.594% 
001  00161 |Loss: 39.128 | Acc: 39.658% 
001  00162 |Loss: 39.124 | Acc: 39.815% 
001  00163 |Loss: 39.120 | Acc: 40.000% 
001  00164 |Loss: 39.115 | Acc: 40.152% 
001  00165 |Loss: 39.111 | Acc: 40.273% 
001  00166 |Loss: 39.108 | Acc: 40.361% 
001  00167 |Loss: 39.106 | Acc: 40.449% 
001  00168 |Loss: 39.105 | Acc: 40.536% 
001  00169 |Loss: 39.102 | Acc: 40.621% 
001  00170 |Loss: 39.099 | Acc: 40.706% 
001  00171 |Loss: 39.096 | Acc: 40.819% 
001  00172 |Loss: 39.094 | Acc: 40.901% 
001  00173 |Loss: 39.091 | Acc: 41.040% 
001  00174 |Loss: 39.088 | Acc: 41.092% 
001  00175 |Loss: 39.086 | Acc: 41.057% 
001  00176 |Loss: 39.083 | Acc: 41.108% 
001  00177 |Loss: 39.080 | Acc: 41.215% 
001  00178 |Loss: 39.077 | Acc: 41.208% 
001  00179 |Loss: 39.075 | Acc: 41.173% 
001  00180 |Loss: 39.071 | Acc: 41.306% 
001  00181 |Loss: 39.068 | Acc: 41.354% 
001  00182 |Loss: 39.065 | Acc: 41.538% 
001  00183 |Loss: 39.064 | Acc: 41.585% 
001  00184 |Loss: 39.062 | Acc: 41.603% 
001  00185 |Loss: 39.058 | Acc: 41.757% 
001  00186 |Loss: 39.056 | Acc: 41.828% 
001  00187 |Loss: 39.053 | Acc: 41.898% 
001  00188 |Loss: 39.048 | Acc: 42.074% 
001  00189 |Loss: 39.045 | Acc: 42.196% 
001  00190 |Loss: 39.042 | Acc: 42.211% 
001  00191 |Loss: 39.039 | Acc: 42.304% 
001  00192 |Loss: 39.036 | Acc: 42.396% 
001  00193 |Loss: 39.034 | Acc: 42.435% 
001  00194 |Loss: 39.032 | Acc: 42.500% 
001  00195 |Loss: 39.027 | Acc: 42.615% 
001  00196 |Loss: 39.024 | Acc: 42.806% 
001  00197 |Loss: 39.022 | Acc: 42.843% 
001  00198 |Loss: 39.020 | Acc: 42.904% 
001  00199 |Loss: 39.017 | Acc: 43.040% 
001  00200 |Loss: 39.015 | Acc: 43.025% 
001  00201 |Loss: 39.012 | Acc: 43.159% 
001  00202 |Loss: 39.010 | Acc: 43.193% 
001  00203 |Loss: 39.008 | Acc: 43.227% 
001  00204 |Loss: 39.005 | Acc: 43.333% 
001  00205 |Loss: 39.002 | Acc: 43.390% 
001  00206 |Loss: 39.000 | Acc: 43.471% 
001  00207 |Loss: 38.997 | Acc: 43.575% 
001  00208 |Loss: 38.994 | Acc: 43.630% 
001  00209 |Loss: 38.991 | Acc: 43.732% 
001  00210 |Loss: 38.988 | Acc: 43.810% 
001  00211 |Loss: 38.986 | Acc: 43.886% 
001  00212 |Loss: 38.983 | Acc: 43.915% 
001  00213 |Loss: 38.981 | Acc: 44.014% 
001  00214 |Loss: 38.979 | Acc: 44.089% 
001  00215 |Loss: 38.977 | Acc: 44.140% 
001  00216 |Loss: 38.974 | Acc: 44.213% 
001  00217 |Loss: 38.972 | Acc: 44.286% 
001  00218 |Loss: 38.969 | Acc: 44.381% 
001  00219 |Loss: 38.968 | Acc: 44.384% 
001  00220 |Loss: 38.964 | Acc: 44.409% 
001  00221 |Loss: 38.963 | Acc: 44.457% 
